epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,911.945,1.36341,2.46866,1.38648,0.95211,0.13996,0.15524,0.09589,1.06674,28.0678,1.11433,0.000369038,0.000369038,0.000369038
2,1764.54,1.35785,1.62992,1.39738,0.94565,0.1262,0.14165,0.08704,1.10259,11.1907,1.18691,0.000724732,0.000724732,0.000724732
3,2610.86,1.37044,1.38848,1.3774,0.96092,0.14746,0.166,0.10382,1.07371,7.74011,1.0946,0.00106576,0.00106576,0.00106576
4,3487.55,1.36367,1.25126,1.3832,0.95562,0.15617,0.16951,0.1108,0.98476,5.15295,1.06492,0.00104501,0.00104501,0.00104501
5,4342.88,1.30955,1.13789,1.34827,0.96891,0.16727,0.2007,0.12887,0.9962,2.74863,1.06784,0.00102301,0.00102301,0.00102301
6,5194.07,1.2736,1.07129,1.33149,0.9821,0.17328,0.22007,0.14986,0.92813,3.92987,1.01127,0.00100101,0.00100101,0.00100101
7,6065.88,1.24813,1.02233,1.31027,0.98245,0.17402,0.25314,0.16409,0.95133,1.38634,1.03092,0.000979013,0.000979013,0.000979013
8,6924.71,1.22143,0.93252,1.29315,0.92079,0.25297,0.49986,0.36494,0.93793,3.64476,1.02961,0.000957015,0.000957015,0.000957015
9,7780.66,1.188,0.89368,1.26867,0.73805,0.33597,0.54465,0.35038,0.92654,2.09658,1.02057,0.000935018,0.000935018,0.000935018
10,8665.27,1.19104,0.87519,1.27395,0.896,0.42603,0.51798,0.36675,0.94548,1.33482,1.01861,0.00091302,0.00091302,0.00091302
