epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.334,1.57756,2.41833,1.63629,0.86351,0.18725,0.19868,0.11112,1.20572,2.15679,1.31912,0.000476125,0.000476125,0.000476125
2,437.9,1.67649,1.98911,1.7267,0.53583,0.19191,0.19261,0.10743,1.14938,1.9372,1.24966,0.000951812,0.000951812,0.000951812
3,648.346,1.6234,1.9227,1.687,0.59145,0.19943,0.2376,0.1377,1.15116,1.59131,1.25984,0.00142492,0.00142492,0.00142492
4,858.183,1.56578,1.78378,1.63351,0.58643,0.20623,0.23937,0.13893,1.13006,1.5343,1.2084,0.00142029,0.00142029,0.00142029
5,1072.49,1.52956,1.74579,1.6102,0.53371,0.22664,0.2126,0.12387,1.02466,3.40424,1.14399,0.00141354,0.00141354,0.00141354
6,1284.73,1.49876,1.69564,1.57084,0.60436,0.2338,0.27712,0.1696,1.01621,1.13097,1.1509,0.0014049,0.0014049,0.0014049
7,1490.48,1.45866,1.52682,1.54445,0.58697,0.245,0.26549,0.16699,0.96807,1.72403,1.08192,0.00139438,0.00139438,0.00139438
8,1698.11,1.44499,1.51572,1.5357,0.61581,0.26495,0.28584,0.18611,0.95807,1.15146,1.08981,0.00138202,0.00138202,0.00138202
9,1905.07,1.41213,1.42933,1.52277,0.93415,0.27855,0.29197,0.18744,0.94492,1.27869,1.07759,0.00136785,0.00136785,0.00136785
10,2112.95,1.37999,1.41121,1.4804,0.62592,0.26479,0.30113,0.19689,0.97136,1.21128,1.09657,0.0013519,0.0013519,0.0013519
11,2319.67,1.36169,1.36184,1.48438,0.61233,0.27354,0.30181,0.1942,0.93736,0.94322,1.06684,0.00133423,0.00133423,0.00133423
12,2528.94,1.3665,1.32599,1.48037,0.62447,0.2742,0.37093,0.24701,0.92713,1.00476,1.06271,0.00131488,0.00131488,0.00131488
