epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.687,1.2119,1.5295,1.36582,0.96919,0.8809,0.89926,0.65868,1.45612,1.49259,1.47764,0.000475698,0.000475698,0.000475698
2,144.333,1.06268,1.00069,1.27564,0.98546,0.894,0.91871,0.70331,1.44263,1.3508,1.51008,0.000951386,0.000951386,0.000951386
3,213.911,1.03115,0.91811,1.25646,0.96778,0.89965,0.92405,0.63973,1.5095,1.25474,1.64074,0.00142449,0.00142449,0.00142449
4,283.249,0.9895,0.89863,1.22804,0.95319,0.90362,0.91307,0.67314,1.40908,1.23214,1.40987,0.00142029,0.00142029,0.00142029
5,353.147,0.94983,0.84571,1.20142,0.96648,0.90268,0.92062,0.67523,1.39638,1.04984,1.57322,0.00141354,0.00141354,0.00141354
6,424.014,0.89097,0.77547,1.17399,0.98635,0.91819,0.93548,0.7086,1.36901,0.98675,1.45851,0.0014049,0.0014049,0.0014049
7,494.499,0.85581,0.72299,1.15899,0.97925,0.91725,0.93141,0.74525,1.33245,1.0239,1.4324,0.00139438,0.00139438,0.00139438
8,565.096,0.84047,0.71424,1.14784,0.93967,0.90895,0.92957,0.70015,1.40673,0.99732,1.5285,0.00138202,0.00138202,0.00138202
9,635.685,0.82039,0.67483,1.14307,0.98579,0.92525,0.93502,0.71189,1.3886,0.99097,1.48126,0.00136785,0.00136785,0.00136785
10,706.756,0.77693,0.64277,1.1089,0.98991,0.91678,0.97115,0.73709,1.35316,0.78969,1.4819,0.0013519,0.0013519,0.0013519
11,776.977,0.76785,0.65063,1.11177,0.97141,0.92301,0.9362,0.71865,1.42041,1.01106,1.52255,0.00133423,0.00133423,0.00133423
12,847.806,0.77153,0.62795,1.10547,0.97675,0.92384,0.93391,0.69179,1.41381,1.07391,1.45582,0.00131488,0.00131488,0.00131488
13,918.316,0.74038,0.62001,1.09505,0.98402,0.91888,0.9355,0.75711,1.33605,0.93026,1.46196,0.00129391,0.00129391,0.00129391
14,991.161,0.70365,0.56136,1.06519,0.98538,0.92096,0.93656,0.73622,1.31939,0.84538,1.44528,0.00127136,0.00127136,0.00127136
15,1066.95,0.7205,0.58856,1.0853,0.99007,0.91067,0.9326,0.711,1.30565,0.92624,1.45945,0.00124731,0.00124731,0.00124731
16,1137.73,0.67853,0.56423,1.06139,0.98913,0.93072,0.94016,0.73585,1.33207,0.91263,1.4119,0.00122182,0.00122182,0.00122182
17,1207.77,0.66681,0.54083,1.05931,0.99218,0.92525,0.9449,0.77583,1.26023,0.82251,1.40043,0.00119496,0.00119496,0.00119496
18,1278.01,0.64633,0.51635,1.04619,0.9844,0.9229,0.93707,0.71468,1.27409,0.8493,1.42388,0.0011668,0.0011668,0.0011668
19,1348.45,0.65751,0.52967,1.04179,0.99344,0.92696,0.94101,0.75295,1.30354,0.77331,1.39548,0.00113742,0.00113742,0.00113742
20,1418.9,0.64844,0.5104,1.04303,0.99137,0.92229,0.93932,0.73083,1.25848,0.75263,1.41853,0.0011069,0.0011069,0.0011069
21,1489.96,0.62259,0.49269,1.03234,0.99183,0.92076,0.95639,0.75458,1.22946,0.71655,1.41201,0.00107532,0.00107532,0.00107532
22,1560,0.61641,0.48739,1.02579,0.98407,0.93324,0.94189,0.72393,1.28488,0.831,1.41186,0.00104278,0.00104278,0.00104278
23,1630.52,0.59432,0.47345,1.01277,0.98566,0.92788,0.94055,0.71969,1.33911,0.85875,1.46919,0.00100935,0.00100935,0.00100935
24,1700.83,0.57966,0.45249,1.00216,0.9943,0.93089,0.94181,0.74614,1.2586,0.83462,1.39094,0.000975138,0.000975138,0.000975138
25,1770.7,0.58503,0.47282,1.00924,0.98956,0.9323,0.94256,0.76983,1.2493,0.77232,1.3786,0.00094023,0.00094023,0.00094023
26,1840.86,0.59031,0.47299,1.01609,0.99079,0.93239,0.9424,0.73493,1.29664,0.8042,1.44079,0.000904722,0.000904722,0.000904722
27,1911.39,0.56489,0.45221,1.00313,0.98792,0.93379,0.94286,0.74066,1.28138,0.86087,1.41228,0.000868712,0.000868712,0.000868712
28,1982.19,0.55965,0.44006,0.99668,0.99566,0.93088,0.94948,0.74871,1.295,0.7928,1.43592,0.0008323,0.0008323,0.0008323
29,2059.12,0.55688,0.4332,0.9965,0.98572,0.92559,0.94017,0.74636,1.18021,0.79551,1.35426,0.000795584,0.000795584,0.000795584
30,2129.66,0.5257,0.41251,0.97285,0.98894,0.9229,0.94315,0.73506,1.21777,0.76507,1.40466,0.000758665,0.000758665,0.000758665
31,2199.95,0.52212,0.40031,0.97716,0.98974,0.93043,0.94421,0.75007,1.23131,0.78736,1.3647,0.000721645,0.000721645,0.000721645
32,2271.36,0.53338,0.41333,0.97845,0.99513,0.93128,0.94612,0.73759,1.26958,0.75293,1.38575,0.000684625,0.000684625,0.000684625
