epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.233,1.57756,2.41833,1.63629,0.86351,0.18725,0.19868,0.11112,1.20572,2.15679,1.31912,0.000476125,0.000476125,0.000476125
2,425.543,1.67649,1.98911,1.7267,0.53583,0.19191,0.19261,0.10743,1.14938,1.9372,1.24966,0.000951812,0.000951812,0.000951812
3,633.754,1.6234,1.9227,1.687,0.59145,0.19943,0.2376,0.1377,1.15116,1.59131,1.25984,0.00142492,0.00142492,0.00142492
4,843.963,1.56578,1.78378,1.63351,0.58643,0.20623,0.23937,0.13893,1.13006,1.5343,1.2084,0.00142029,0.00142029,0.00142029
5,1053.45,1.52956,1.74579,1.6102,0.53371,0.22664,0.2126,0.12387,1.02466,3.40424,1.14399,0.00141354,0.00141354,0.00141354
6,1267.58,1.49876,1.69564,1.57084,0.60436,0.2338,0.27712,0.1696,1.01621,1.13097,1.1509,0.0014049,0.0014049,0.0014049
7,1477.59,1.45866,1.52682,1.54445,0.58697,0.245,0.26549,0.16699,0.96807,1.72403,1.08192,0.00139438,0.00139438,0.00139438
8,1688.96,1.44499,1.51572,1.5357,0.61581,0.26495,0.28584,0.18611,0.95807,1.15146,1.08981,0.00138202,0.00138202,0.00138202
9,1899.29,1.41213,1.42933,1.52277,0.93415,0.27855,0.29197,0.18744,0.94492,1.27869,1.07759,0.00136785,0.00136785,0.00136785
10,2109.54,1.37999,1.41121,1.4804,0.62592,0.26479,0.30113,0.19689,0.97136,1.21128,1.09657,0.0013519,0.0013519,0.0013519
11,2338.56,1.36169,1.36184,1.48438,0.61233,0.27354,0.30181,0.1942,0.93736,0.94322,1.06684,0.00133423,0.00133423,0.00133423
12,2566.3,1.3665,1.32599,1.48037,0.62447,0.2742,0.37093,0.24701,0.92713,1.00476,1.06271,0.00131488,0.00131488,0.00131488
13,2777.78,1.31773,1.265,1.44357,0.95192,0.27616,0.29812,0.20101,0.89917,1.0569,1.01881,0.00129391,0.00129391,0.00129391
14,2989.52,1.32591,1.25641,1.45435,0.97061,0.28178,0.31549,0.21519,0.89326,0.65209,1.02679,0.00127136,0.00127136,0.00127136
15,3200.24,1.29265,1.21666,1.42795,0.64273,0.28249,0.32496,0.21968,0.88787,0.68822,1.04926,0.00124731,0.00124731,0.00124731
16,3412.35,1.28726,1.16698,1.43049,0.96647,0.28812,0.34994,0.24198,0.87337,0.65882,1.01196,0.00122182,0.00122182,0.00122182
17,3687.1,1.25877,1.14683,1.40577,0.97306,0.29316,0.33881,0.23336,0.87538,0.6752,1.01355,0.00119496,0.00119496,0.00119496
18,3896.51,1.26255,1.12081,1.40349,0.96527,0.29646,0.40487,0.2895,0.86342,0.6219,1.00655,0.0011668,0.0011668,0.0011668
19,4106.95,1.26358,1.13355,1.40579,0.97646,0.28786,0.34221,0.2382,0.8553,0.60158,0.99462,0.00113742,0.00113742,0.00113742
20,4318.78,1.24278,1.11021,1.39269,0.96816,0.30517,0.45256,0.33146,0.82665,0.55464,0.98035,0.0011069,0.0011069,0.0011069
